id,gene_symbol,logFC,AveExpr,t,P_Value,adj_P_Val,B
63,SLC16A10,1.500732745,4.760877549,4.129072795,0.00024321099999999999,0.031706471,0.446323521
64,AC079325.6,1.7466425280000002,-1.449674139,4.127466719,0.000244319,0.031706471,-0.101326819
67,ANKH,1.037087655,7.177908334,4.114315011,0.000253582,0.031722865,0.417258791
79,P3H2,1.45807925,0.554133427,4.026260939,0.000325105,0.032804845,0.128056644
83,TCN1,2.05274027,-0.8023132609999999,4.012302399999999,0.000338126,0.033134074,-0.164149063
84,NT5E,1.5403138,1.244689734,4.002725575,0.000347354,0.033695243,0.15437569
85,MRO,2.353848507,1.479089633,4.0015220739999995,0.00034853099999999996,0.033695243,0.170663413
87,EDA,1.013228349,0.30897507399999996,3.990394663,0.0003596,0.033818077,0.009878331
90,EDNRB,1.1774010940000001,2.2006825709999998,3.981300665,0.00036889999999999997,0.033818077,0.153230069
98,ARHGAP23,1.0151019959999998,2.4704178690000003,3.949728598,0.000403052,0.035187669,0.075744213
104,GPR85,1.912155857,2.143993504,3.917975784,0.000440511,0.036027147,-0.00377343
106,LRTM1,3.68369327,0.030836585,3.913386954,0.000446198,0.036027147,-0.20592053300000002
114,PKIB,2.105799769,0.541885966,3.8881372510000003,0.000478798,0.036186061,-0.18729554
120,CFHR3,1.310641743,-0.775608845,3.849910473,0.0005326209999999999,0.03715822,-0.49284750000000005
121,FCAMR,2.4290861759999998,-0.23465027,3.849127422,0.000533783,0.03715822,-0.39054588700000004
143,RND1,1.347752711,2.4514163019999997,3.75882497,0.000685737,0.040202062000000004,-0.396652057
145,MSX1,2.211474852,-0.34795174,3.755469045,0.000692129,0.040202062000000004,-0.609111144
147,TFPI2,1.573953068,0.639332857,3.747090573,0.00070834,0.040469475,-0.49455321399999996
148,CEMIP,1.061704988,3.5445900010000004,3.743379308,0.000715638,0.040469475,-0.49064561799999995
150,PDGFA,1.8365112330000002,3.7333519930000003,3.7416722,0.000719019,0.040469475,-0.50752613
158,ATP2B1,1.0478091840000001,8.689776078,3.728561495,0.0007455130000000001,0.040524946,-0.5367165
163,CACNA2D3,2.163833506,-0.785838485,3.710380919,0.000783826,0.041210067999999996,-0.78021723
164,DPP6,1.877020986,-0.987201118,3.710363436,0.0007838639999999999,0.041210067999999996,-0.818805569
172,RCAN1,1.313367027,7.326227916000001,3.672982058,0.0008687460000000001,0.043302022,-0.72285365
175,KANK1,1.599679117,8.037615533,3.6572432839999998,0.0009070939999999999,0.044003245999999996,-0.73817865
198,ABTB2,1.327217845,3.4083807160000004,3.597228228,0.001068956,0.045381209000000006,-0.847410443
209,CNRIP1,1.01565322,3.253019698,3.5773487060000004,0.001128493,0.046313230999999996,-0.885356435
216,CCL20,2.122380602,5.380785792999999,3.562968029,0.0011735489999999999,0.046590972,-1.035676346
218,MS4A2,1.335949123,0.983486462,3.56049374,0.0011814739999999998,0.046590972,-0.8889262729999999
222,MPP3,1.250229426,-0.340669703,3.55583561,0.001196536,0.046837212,-1.02634638
224,CHST5,1.9666890369999999,0.09679472199999999,3.552892032,0.001206149,0.046908615,-0.978431817
227,CH17-78J1.1,1.110666751,-1.240794392,3.548759988,0.0012197689999999999,0.046980682,-1.184597741
229,F2RL2,1.091126944,-0.632038075,3.542502225,0.00124068,0.047078065,-1.095836765
232,SCUBE1,2.076875225,1.194257041,3.533795974,0.00127035,0.047904178,-0.939707392
236,ATP8B1,1.074521929,2.924024236,3.52460336,0.001302422,0.04793916,-0.991770174
241,KLLN,2.006970033,2.096160659,3.50030562,0.0013910020000000001,0.050011680999999995,-1.011111808
256,RP11-113I24.1,2.0752848619999997,1.619900746,3.4687367780000002,0.0015148070000000002,0.051362791,-1.079939403
262,ERBB3,1.506799826,-0.40086730600000003,3.452534318,0.001582409,0.052001004,-1.247541121
275,REM1,1.765450398,0.6214878110000001,3.4267850789999996,0.001695862,0.052892035,-1.206652578
278,SGPP2,1.3643633640000001,6.3982498020000005,3.419812957,0.001727905,0.05344243,-1.386847472
285,RASL11A,1.7317294890000001,2.38720968,3.403633947,0.0018045210000000001,0.053946198,-1.2501777509999998
287,RNF150,2.086422876,1.036129494,3.402851685,0.001808307,0.053946198,-1.2400523509999999
305,MET,1.021182815,3.1031287130000003,3.3744612239999996,0.001951002,0.054184947000000004,-1.36819818
306,DEPTOR,1.170711453,-0.314310927,3.372449024,0.001961516,0.054184947000000004,-1.401412018
310,C1QTNF1,1.5943157069999998,3.239249956,3.367316712,0.001988581,0.054184947000000004,-1.396607839
314,TNFSF18,1.0657193999999999,0.900985085,3.363704292,0.002007845,0.054184947000000004,-1.331355947
320,A4GALT,1.3576405409999999,2.138694121,3.35262446,0.0020680570000000003,0.054755961,-1.3584049059999999
322,VCAN,1.731930692,6.593922953,3.351286683,0.0020754429999999997,0.054755961,-1.550673605
326,STEAP2,1.131229885,0.096780105,3.344418252,0.002113766,0.055061107000000005,-1.420249406
339,DPPA4,1.8274855069999998,0.273212772,3.3291480069999997,0.002201415,0.055375808,-1.439099855
359,PLXNA2,1.098601469,4.475696397,3.287974072,0.002455461,0.057607358,-1.6847348030000002
374,RNASE2,1.300019385,0.444374201,3.261301126,0.0026347759999999997,0.05881988900000001,-1.572447344
378,AKR1C3,1.008785621,0.916862394,3.2592505089999997,0.0026490690000000004,0.05881988900000001,-1.55926536
389,HEY1,1.9674789069999998,0.769367406,3.239917605,0.0027875129999999997,0.060295373,-1.6050022130000001
390,SMARCA1,1.097971274,-1.118602992,3.2397658910000002,0.002788627,0.060295373,-1.75927826
403,SLC25A48,2.185670327,-0.193429008,3.226360193,0.002888697,0.060627143,-1.6874065919999999
405,PAK3,1.25732278,-0.739330677,3.225448628,0.002895625,0.060627143,-1.7417531309999998
424,AC010980.2,1.115078918,3.7012010969999998,3.186592942,0.003206128,0.063197108,-1.8689877469999998
432,CELF4,1.8832910219999999,-0.009211826999999999,3.18041632,0.0032583240000000004,0.063324151,-1.767160232
